onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	dike	4.54	5.2	19	98.8
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	ListenWord	NA	robe	5	7.4	18	133.2
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	ListenWord	NA	sap	4.37	8.22	27	221.94
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.418	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.488	0	1	null	NA	null	-1	-1	-1	-1
24.558	0	1	ListenWord	NA	Pope	4.71	9.01	22	198.22
27.628	0	1	null	NA	null	-1	-1	-1	-1
30.698	0	1	null	NA	null	-1	-1	-1	-1
33.767	0	1	null	NA	null	-1	-1	-1	-1
36.837	0	1	ListenWord	NA	chick	4.93	8.06	23	185.38
39.907	0	1	null	NA	null	-1	-1	-1	-1
42.976	0	1	ListenWord	NA	coil	4.56	8.13	18	146.34
46.046	0	1	null	NA	null	-1	-1	-1	-1
49.116	0	1	ListenWord	NA	gear	4.28	9.64	21	202.44
52.186	0	1	null	NA	null	-1	-1	-1	-1
55.255	0	1	null	NA	null	-1	-1	-1	-1
58.325	0	1	null	NA	null	-1	-1	-1	-1
61.395	0	1	ListenWord	NA	rag	4.67	8.25	28	231
64.465	0	1	null	NA	null	-1	-1	-1	-1
67.534	0	1	ListenWord	NA	lip	4.96	8.11	29	235.19
70.604	0	1	null	NA	null	-1	-1	-1	-1
73.674	0	1	null	NA	null	-1	-1	-1	-1
76.744	0	1	null	NA	null	-1	-1	-1	-1
79.813	0	1	ListenWord	NA	loop	4.26	9.7	18	174.6
82.883	0	1	null	NA	null	-1	-1	-1	-1
85.953	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.023	0	1	null	NA	null	-1	-1	-1	-1
92.092	0	1	ListenWord	NA	lash	3.79	6.48	26	168.48
95.162	0	1	null	NA	null	-1	-1	-1	-1
98.232	0	1	ListenWord	NA	peck	4.16	6.97	20	139.4
101.301	0	1	null	NA	null	-1	-1	-1	-1
104.37	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.44	0	1	null	NA	null	-1	-1	-1	-1
110.51	0	1	ListenWord	NA	kite	5	7.76	20	155.2
113.58	0	1	null	NA	null	-1	-1	-1	-1
116.649	0	1	ListenWord	NA	gull	4.08	5.64	21	118.44
119.719	0	1	null	NA	null	-1	-1	-1	-1
122.789	0	1	ListenWord	NA	dim	3.31	8.36	21	175.56
125.859	0	1	null	NA	null	-1	-1	-1	-1
128.928	0	1	null	NA	null	-1	-1	-1	-1
131.998	0	1	null	NA	null	-1	-1	-1	-1
135.068	0	1	ListenWord	NA	dug	4	7.96	22	175.12
138.138	0	1	null	NA	null	-1	-1	-1	-1
141.207	0	1	ListenWord	NA	hop	3.8	8.41	20	168.2
144.277	0	1	null	NA	null	-1	-1	-1	-1
147.347	0	1	null	NA	null	-1	-1	-1	-1
150.417	0	1	null	NA	null	-1	-1	-1	-1
153.486	0	1	ListenWord	NA	rope	4.93	8.76	27	236.52
156.556	0	1	null	NA	null	-1	-1	-1	-1
159.626	0	1	ListenWord	NA	peach	4.9	7.5	22	165
162.696	0	1	null	NA	null	-1	-1	-1	-1
165.765	0	1	ListenNoise	NA	null	-1	-1	-1	-1
168.835	0	1	null	NA	null	-1	-1	-1	-1
171.905	0	1	ListenWord	NA	lob	3.83	6.15	20	123
174.975	0	1	null	NA	null	-1	-1	-1	-1
178.044	0	1	ListenNoise	NA	null	-1	-1	-1	-1
181.114	0	1	null	NA	null	-1	-1	-1	-1
184.184	0	1	ListenWord	NA	lab	4.69	10.12	20	202.4
187.254	0	1	null	NA	null	-1	-1	-1	-1
190.323	0	1	ListenNoise	NA	null	-1	-1	-1	-1
193.393	0	1	null	NA	null	-1	-1	-1	-1
196.463	0	1	ListenWord	NA	mass	3.44	10.43	26	271.18
199.533	0	1	null	NA	null	-1	-1	-1	-1
202.602	0	1	ListenWord	NA	vile	2.14	7.91	22	174.02
205.672	0	1	null	NA	null	-1	-1	-1	-1
208.742	0	1	ListenWord	NA	tip	4.5	9.59	25	239.75
211.811	0	1	null	NA	null	-1	-1	-1	-1
214.88	0	1	ListenWord	NA	beach	4.79	10.19	18	183.42
217.95	0	1	null	NA	null	-1	-1	-1	-1
221.02	0	1	null	NA	null	-1	-1	-1	-1
224.09	0	1	null	NA	null	-1	-1	-1	-1
227.159	0	1	ListenWord	NA	moon	4.9	10.33	21	216.93
230.229	0	1	null	NA	null	-1	-1	-1	-1
233.299	0	1	ListenNoise	NA	null	-1	-1	-1	-1
236.369	0	1	null	NA	null	-1	-1	-1	-1
239.438	0	1	ListenWord	NA	lag	3.04	7.89	27	213.03
242.508	0	1	null	NA	null	-1	-1	-1	-1
245.578	0	1	null	NA	null	-1	-1	-1	-1
248.648	0	1	null	NA	null	-1	-1	-1	-1
251.717	0	1	ListenWord	NA	rib	4.9	7.09	19	134.71
254.787	0	1	null	NA	null	-1	-1	-1	-1
