onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	tan	4.29	9.06	25	226.5
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.139	0	1	ListenWord	NA	fig	4.97	7.54	16	120.64
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	ListenWord	NA	roar	3.81	7.32	31	226.92
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.418	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.487	0	1	null	NA	null	-1	-1	-1	-1
24.557	0	1	ListenWord	NA	tub	4.64	7.86	17	133.62
27.626	0	1	null	NA	null	-1	-1	-1	-1
30.696	0	1	null	NA	null	-1	-1	-1	-1
33.766	0	1	null	NA	null	-1	-1	-1	-1
36.835	0	1	ListenWord	NA	mare	4.75	7.27	23	167.21
39.905	0	1	null	NA	null	-1	-1	-1	-1
42.975	0	1	ListenWord	NA	nag	3.03	6.69	17	113.73
46.045	0	1	null	NA	null	-1	-1	-1	-1
49.114	0	1	ListenWord	NA	loot	4.5	6.91	26	179.66
52.184	0	1	null	NA	null	-1	-1	-1	-1
55.254	0	1	null	NA	null	-1	-1	-1	-1
58.323	0	1	null	NA	null	-1	-1	-1	-1
61.393	0	1	ListenWord	NA	beef	4.74	8.57	15	128.55
64.463	0	1	null	NA	null	-1	-1	-1	-1
67.533	0	1	ListenWord	NA	lid	4.96	7.97	23	183.31
70.602	0	1	null	NA	null	-1	-1	-1	-1
73.672	0	1	null	NA	null	-1	-1	-1	-1
76.742	0	1	null	NA	null	-1	-1	-1	-1
79.811	0	1	ListenWord	NA	purse	4.9	7.53	19	143.07
82.881	0	1	null	NA	null	-1	-1	-1	-1
85.951	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.02	0	1	null	NA	null	-1	-1	-1	-1
92.09	0	1	ListenWord	NA	soup	4.72	8.71	22	191.62
95.16	0	1	null	NA	null	-1	-1	-1	-1
98.23	0	1	ListenWord	NA	hate	1.97	10.69	24	256.56
101.299	0	1	null	NA	null	-1	-1	-1	-1
104.369	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.439	0	1	null	NA	null	-1	-1	-1	-1
110.508	0	1	ListenWord	NA	weed	4.9	8.01	24	192.24
113.578	0	1	null	NA	null	-1	-1	-1	-1
116.648	0	1	ListenWord	NA	gone	2.04	10.86	17	184.62
119.718	0	1	null	NA	null	-1	-1	-1	-1
122.786	0	1	ListenWord	NA	ring	4.81	10.7	23	246.1
125.856	0	1	null	NA	null	-1	-1	-1	-1
128.926	0	1	null	NA	null	-1	-1	-1	-1
131.995	0	1	null	NA	null	-1	-1	-1	-1
135.065	0	1	ListenWord	NA	dead	4.07	11.2	24	268.8
138.135	0	1	null	NA	null	-1	-1	-1	-1
141.204	0	1	ListenWord	NA	shop	4.31	10.24	16	163.84
144.274	0	1	null	NA	null	-1	-1	-1	-1
147.344	0	1	null	NA	null	-1	-1	-1	-1
150.414	0	1	null	NA	null	-1	-1	-1	-1
153.483	0	1	ListenWord	NA	ham	4.9	8.82	26	229.32
156.553	0	1	null	NA	null	-1	-1	-1	-1
159.623	0	1	ListenWord	NA	hook	4.79	9.36	16	149.76
162.692	0	1	null	NA	null	-1	-1	-1	-1
165.762	0	1	ListenNoise	NA	null	-1	-1	-1	-1
168.832	0	1	null	NA	null	-1	-1	-1	-1
171.902	0	1	ListenWord	NA	face	4.87	11.26	21	236.46
174.971	0	1	null	NA	null	-1	-1	-1	-1
178.041	0	1	ListenNoise	NA	null	-1	-1	-1	-1
181.111	0	1	null	NA	null	-1	-1	-1	-1
184.18	0	1	ListenWord	NA	zeal	2.33	6.55	15	98.25
187.25	0	1	null	NA	null	-1	-1	-1	-1
190.32	0	1	ListenNoise	NA	null	-1	-1	-1	-1
193.389	0	1	null	NA	null	-1	-1	-1	-1
196.459	0	1	ListenWord	NA	coat	4.97	9.24	31	286.44
199.529	0	1	null	NA	null	-1	-1	-1	-1
202.599	0	1	ListenWord	NA	lop	3.32	5.64	22	124.08
205.668	0	1	null	NA	null	-1	-1	-1	-1
208.738	0	1	ListenWord	NA	wake	3.11	9.4	26	244.4
211.808	0	1	null	NA	null	-1	-1	-1	-1
214.877	0	1	ListenWord	NA	jig	3.85	6.79	17	115.43
217.947	0	1	null	NA	null	-1	-1	-1	-1
221.017	0	1	null	NA	null	-1	-1	-1	-1
224.087	0	1	null	NA	null	-1	-1	-1	-1
227.156	0	1	ListenWord	NA	hag	3.68	8.3	25	207.5
230.225	0	1	null	NA	null	-1	-1	-1	-1
233.295	0	1	ListenNoise	NA	null	-1	-1	-1	-1
236.364	0	1	null	NA	null	-1	-1	-1	-1
239.434	0	1	ListenWord	NA	map	4.93	10.16	20	203.2
242.504	0	1	null	NA	null	-1	-1	-1	-1
245.573	0	1	null	NA	null	-1	-1	-1	-1
248.643	0	1	null	NA	null	-1	-1	-1	-1
251.713	0	1	ListenWord	NA	leash	4.89	7.6	16	121.6
254.783	0	1	null	NA	null	-1	-1	-1	-1
257.852	0	1	ListenWord	NA	shuck	3.09	4.52	17	76.84
260.922	0	1	null	NA	null	-1	-1	-1	-1
263.992	0	1	ListenWord	NA	hick	3.45	6.07	25	151.75
267.061	0	1	null	NA	null	-1	-1	-1	-1
270.131	0	1	null	NA	null	-1	-1	-1	-1
273.201	0	1	null	NA	null	-1	-1	-1	-1
276.27	0	1	ListenNoise	NA	null	-1	-1	-1	-1
279.34	0	1	null	NA	null	-1	-1	-1	-1
282.41	0	1	ListenWord	NA	wean	2.59	6.62	25	165.5
285.48	0	1	null	NA	null	-1	-1	-1	-1
288.549	0	1	ListenNoise	NA	null	-1	-1	-1	-1
291.619	0	1	null	NA	null	-1	-1	-1	-1
294.689	0	1	ListenWord	NA	chop	4.48	7.75	18	139.5
297.758	0	1	null	NA	null	-1	-1	-1	-1
300.828	0	1	ListenWord	NA	buck	4.67	8.82	29	255.78
303.898	0	1	null	NA	null	-1	-1	-1	-1
306.968	0	1	ListenWord	NA	heed	1.93	6.96	21	146.16
310.037	0	1	null	NA	null	-1	-1	-1	-1
313.107	0	1	ListenWord	NA	taught	2.21	9.83	22	216.26
316.177	0	1	null	NA	null	-1	-1	-1	-1
319.246	0	1	null	NA	null	-1	-1	-1	-1
322.316	0	1	null	NA	null	-1	-1	-1	-1
325.386	0	1	ListenWord	NA	woke	3.15	8.08	18	145.44
328.454	0	1	null	NA	null	-1	-1	-1	-1
331.524	0	1	ListenWord	NA	curse	2.39	8.95	16	143.2
334.594	0	1	null	NA	null	-1	-1	-1	-1
337.664	0	1	ListenWord	NA	sick	2.97	10	29	290
340.733	0	1	null	NA	null	-1	-1	-1	-1
343.803	0	1	ListenWord	NA	pipe	4.88	9.41	18	169.38
346.873	0	1	null	NA	null	-1	-1	-1	-1
349.942	0	1	ListenNoise	NA	null	-1	-1	-1	-1
353.012	0	1	null	NA	null	-1	-1	-1	-1
356.082	0	1	ListenWord	NA	ware	3.54	7.57	25	189.25
359.152	0	1	null	NA	null	-1	-1	-1	-1
362.221	0	1	null	NA	null	-1	-1	-1	-1
365.291	0	1	null	NA	null	-1	-1	-1	-1
368.361	0	1	ListenWord	NA	tab	4.14	9.13	17	155.21
371.43	0	1	null	NA	null	-1	-1	-1	-1
374.5	0	1	null	NA	null	-1	-1	-1	-1
377.57	0	1	null	NA	null	-1	-1	-1	-1
380.639	0	1	ListenNoise	NA	null	-1	-1	-1	-1
383.709	0	1	null	NA	null	-1	-1	-1	-1
386.779	0	1	ListenWord	NA	loon	4.26	6.78	25	169.5
389.849	0	1	null	NA	null	-1	-1	-1	-1
392.918	0	1	ListenWord	NA	mile	3.63	9.18	28	257.04
395.988	0	1	null	NA	null	-1	-1	-1	-1
399.058	0	1	ListenWord	NA	rook	4.38	6.46	17	109.82
402.127	0	1	null	NA	null	-1	-1	-1	-1
405.197	0	1	ListenWord	NA	mead	4.22	7.43	20	148.6
408.267	0	1	null	NA	null	-1	-1	-1	-1
411.336	0	1	ListenNoise	NA	null	-1	-1	-1	-1
414.406	0	1	null	NA	null	-1	-1	-1	-1
417.476	0	1	ListenWord	NA	weave	4.2	7.03	16	112.48
420.546	0	1	null	NA	null	-1	-1	-1	-1
423.615	0	1	ListenWord	NA	share	2.96	10.96	22	241.12
426.685	0	1	null	NA	null	-1	-1	-1	-1
429.754	0	1	null	NA	null	-1	-1	-1	-1
432.823	0	1	null	NA	null	-1	-1	-1	-1
435.893	0	1	ListenWord	NA	bull	4.85	9.02	13	117.26
438.963	0	1	null	NA	null	-1	-1	-1	-1
442.033	0	1	ListenNoise	NA	null	-1	-1	-1	-1
445.102	0	1	null	NA	null	-1	-1	-1	-1
448.172	0	1	ListenWord	NA	seethe	2.39	3.85	16	61.6
451.242	0	1	null	NA	null	-1	-1	-1	-1
454.311	0	1	ListenWord	NA	met	2.58	10.43	26	271.18
457.381	0	1	null	NA	null	-1	-1	-1	-1
460.451	0	1	ListenWord	NA	cheer	2.77	7.55	27	203.85
463.52	0	1	null	NA	null	-1	-1	-1	-1
466.59	0	1	ListenWord	NA	null	1.79	9.64	17	163.88
469.66	0	1	null	NA	null	-1	-1	-1	-1
472.73	0	1	ListenWord	NA	job	3.19	11.93	19	226.67
475.799	0	1	null	NA	null	-1	-1	-1	-1
478.869	0	1	null	NA	null	-1	-1	-1	-1
481.939	0	1	null	NA	null	-1	-1	-1	-1
485.008	0	1	ListenWord	NA	moat	4.69	7.73	31	239.63
488.078	0	1	null	NA	null	-1	-1	-1	-1
491.148	0	1	ListenWord	NA	loaf	4.79	7.11	16	113.76
494.218	0	1	null	NA	null	-1	-1	-1	-1
497.287	0	1	ListenWord	NA	folk	3.57	9.39	16	150.24
500.357	0	1	null	NA	null	-1	-1	-1	-1
503.427	0	1	ListenWord	NA	tile	4.68	7.19	29	208.51
506.496	0	1	null	NA	null	-1	-1	-1	-1
509.566	0	1	null	NA	null	-1	-1	-1	-1
512.636	0	1	null	NA	null	-1	-1	-1	-1
515.705	0	1	ListenWord	NA	date	3.9	11.82	24	283.68
518.775	0	1	null	NA	null	-1	-1	-1	-1
521.845	0	1	ListenNoise	NA	null	-1	-1	-1	-1
524.915	0	1	null	NA	null	-1	-1	-1	-1
527.984	0	1	ListenWord	NA	learn	2.2	11.18	16	178.88
531.054	0	1	null	NA	null	-1	-1	-1	-1
534.123	0	1	null	NA	null	-1	-1	-1	-1
537.192	0	1	null	NA	null	-1	-1	-1	-1
540.262	0	1	ListenWord	NA	rod	4.43	9.88	21	207.48
543.332	0	1	null	NA	null	-1	-1	-1	-1
546.402	0	1	ListenNoise	NA	null	-1	-1	-1	-1
549.471	0	1	null	NA	null	-1	-1	-1	-1
