onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	tan	4.29	9.06	25	226.5
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.139	0	1	ListenWord	NA	fig	4.97	7.54	16	120.64
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	ListenWord	NA	roar	3.81	7.32	31	226.92
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.488	0	1	null	NA	null	-1	-1	-1	-1
24.558	0	1	ListenWord	NA	tub	4.64	7.86	17	133.62
27.628	0	1	null	NA	null	-1	-1	-1	-1
30.698	0	1	null	NA	null	-1	-1	-1	-1
33.768	0	1	null	NA	null	-1	-1	-1	-1
36.837	0	1	ListenWord	NA	mare	4.75	7.27	23	167.21
39.907	0	1	null	NA	null	-1	-1	-1	-1
42.977	0	1	ListenWord	NA	nag	3.03	6.69	17	113.73
46.047	0	1	null	NA	null	-1	-1	-1	-1
49.117	0	1	ListenWord	NA	loot	4.5	6.91	26	179.66
52.186	0	1	null	NA	null	-1	-1	-1	-1
55.256	0	1	null	NA	null	-1	-1	-1	-1
58.326	0	1	null	NA	null	-1	-1	-1	-1
61.396	0	1	ListenWord	NA	beef	4.74	8.57	15	128.55
64.466	0	1	null	NA	null	-1	-1	-1	-1
67.535	0	1	ListenWord	NA	lid	4.96	7.97	23	183.31
70.605	0	1	null	NA	null	-1	-1	-1	-1
73.675	0	1	null	NA	null	-1	-1	-1	-1
76.745	0	1	null	NA	null	-1	-1	-1	-1
79.815	0	1	ListenWord	NA	purse	4.9	7.53	19	143.07
82.884	0	1	null	NA	null	-1	-1	-1	-1
85.954	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.024	0	1	null	NA	null	-1	-1	-1	-1
92.094	0	1	ListenWord	NA	soup	4.72	8.71	22	191.62
95.163	0	1	null	NA	null	-1	-1	-1	-1
98.232	0	1	ListenWord	NA	hate	1.97	10.69	24	256.56
101.302	0	1	null	NA	null	-1	-1	-1	-1
104.372	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.442	0	1	null	NA	null	-1	-1	-1	-1
110.512	0	1	ListenWord	NA	weed	4.9	8.01	24	192.24
113.581	0	1	null	NA	null	-1	-1	-1	-1
116.651	0	1	ListenWord	NA	gone	2.04	10.86	17	184.62
119.721	0	1	null	NA	null	-1	-1	-1	-1
122.791	0	1	ListenWord	NA	ring	4.81	10.7	23	246.1
125.861	0	1	null	NA	null	-1	-1	-1	-1
128.931	0	1	null	NA	null	-1	-1	-1	-1
132	0	1	null	NA	null	-1	-1	-1	-1
135.07	0	1	ListenWord	NA	dead	4.07	11.2	24	268.8
138.14	0	1	null	NA	null	-1	-1	-1	-1
141.21	0	1	ListenWord	NA	shop	4.31	10.24	16	163.84
144.28	0	1	null	NA	null	-1	-1	-1	-1
147.349	0	1	null	NA	null	-1	-1	-1	-1
150.419	0	1	null	NA	null	-1	-1	-1	-1
153.489	0	1	ListenWord	NA	ham	4.9	8.82	26	229.32
156.559	0	1	null	NA	null	-1	-1	-1	-1
159.629	0	1	ListenWord	NA	hook	4.79	9.36	16	149.76
162.698	0	1	null	NA	null	-1	-1	-1	-1
165.768	0	1	ListenNoise	NA	null	-1	-1	-1	-1
168.838	0	1	null	NA	null	-1	-1	-1	-1
171.908	0	1	ListenWord	NA	face	4.87	11.26	21	236.46
174.978	0	1	null	NA	null	-1	-1	-1	-1
178.047	0	1	ListenNoise	NA	null	-1	-1	-1	-1
181.117	0	1	null	NA	null	-1	-1	-1	-1
184.187	0	1	ListenWord	NA	zeal	2.33	6.55	15	98.25
187.257	0	1	null	NA	null	-1	-1	-1	-1
190.327	0	1	ListenNoise	NA	null	-1	-1	-1	-1
193.396	0	1	null	NA	null	-1	-1	-1	-1
196.466	0	1	ListenWord	NA	coat	4.97	9.24	31	286.44
199.536	0	1	null	NA	null	-1	-1	-1	-1
202.606	0	1	ListenWord	NA	lop	3.32	5.64	22	124.08
205.676	0	1	null	NA	null	-1	-1	-1	-1
208.745	0	1	ListenWord	NA	wake	3.11	9.4	26	244.4
211.815	0	1	null	NA	null	-1	-1	-1	-1
214.885	0	1	ListenWord	NA	jig	3.85	6.79	17	115.43
217.954	0	1	null	NA	null	-1	-1	-1	-1
221.024	0	1	null	NA	null	-1	-1	-1	-1
224.093	0	1	null	NA	null	-1	-1	-1	-1
227.163	0	1	ListenWord	NA	hag	3.68	8.3	25	207.5
230.233	0	1	null	NA	null	-1	-1	-1	-1
233.303	0	1	ListenNoise	NA	null	-1	-1	-1	-1
236.373	0	1	null	NA	null	-1	-1	-1	-1
239.442	0	1	ListenWord	NA	map	4.93	10.16	20	203.2
242.512	0	1	null	NA	null	-1	-1	-1	-1
245.582	0	1	null	NA	null	-1	-1	-1	-1
248.652	0	1	null	NA	null	-1	-1	-1	-1
251.722	0	1	ListenWord	NA	leash	4.89	7.6	16	121.6
254.791	0	1	null	NA	null	-1	-1	-1	-1
257.861	0	1	ListenWord	NA	shuck	3.09	4.52	17	76.84
260.931	0	1	null	NA	null	-1	-1	-1	-1
264.001	0	1	ListenWord	NA	hick	3.45	6.07	25	151.75
267.071	0	1	null	NA	null	-1	-1	-1	-1
270.14	0	1	null	NA	null	-1	-1	-1	-1
273.21	0	1	null	NA	null	-1	-1	-1	-1
276.28	0	1	ListenNoise	NA	null	-1	-1	-1	-1
279.35	0	1	null	NA	null	-1	-1	-1	-1
282.42	0	1	ListenWord	NA	wean	2.59	6.62	25	165.5
285.489	0	1	null	NA	null	-1	-1	-1	-1
288.559	0	1	ListenNoise	NA	null	-1	-1	-1	-1
291.629	0	1	null	NA	null	-1	-1	-1	-1
294.699	0	1	ListenWord	NA	chop	4.48	7.75	18	139.5
297.769	0	1	null	NA	null	-1	-1	-1	-1
300.839	0	1	ListenWord	NA	buck	4.67	8.82	29	255.78
303.908	0	1	null	NA	null	-1	-1	-1	-1
306.978	0	1	ListenWord	NA	heed	1.93	6.96	21	146.16
310.048	0	1	null	NA	null	-1	-1	-1	-1
313.118	0	1	ListenWord	NA	taught	2.21	9.83	22	216.26
316.188	0	1	null	NA	null	-1	-1	-1	-1
319.257	0	1	null	NA	null	-1	-1	-1	-1
322.327	0	1	null	NA	null	-1	-1	-1	-1
325.397	0	1	ListenWord	NA	woke	3.15	8.08	18	145.44
328.467	0	1	null	NA	null	-1	-1	-1	-1
331.537	0	1	ListenWord	NA	curse	2.39	8.95	16	143.2
334.606	0	1	null	NA	null	-1	-1	-1	-1
337.676	0	1	ListenWord	NA	sick	2.97	10	29	290
340.745	0	1	null	NA	null	-1	-1	-1	-1
343.815	0	1	ListenWord	NA	pipe	4.88	9.41	18	169.38
346.885	0	1	null	NA	null	-1	-1	-1	-1
349.954	0	1	ListenNoise	NA	null	-1	-1	-1	-1
353.024	0	1	null	NA	null	-1	-1	-1	-1
356.094	0	1	ListenWord	NA	ware	3.54	7.57	25	189.25
359.164	0	1	null	NA	null	-1	-1	-1	-1
362.234	0	1	null	NA	null	-1	-1	-1	-1
365.303	0	1	null	NA	null	-1	-1	-1	-1
368.373	0	1	ListenWord	NA	tab	4.14	9.13	17	155.21
371.443	0	1	null	NA	null	-1	-1	-1	-1
374.513	0	1	null	NA	null	-1	-1	-1	-1
377.583	0	1	null	NA	null	-1	-1	-1	-1
380.652	0	1	ListenNoise	NA	null	-1	-1	-1	-1
383.722	0	1	null	NA	null	-1	-1	-1	-1
386.792	0	1	ListenWord	NA	loon	4.26	6.78	25	169.5
389.862	0	1	null	NA	null	-1	-1	-1	-1
392.932	0	1	ListenWord	NA	mile	3.63	9.18	28	257.04
396.001	0	1	null	NA	null	-1	-1	-1	-1
399.071	0	1	ListenWord	NA	rook	4.38	6.46	17	109.82
402.141	0	1	null	NA	null	-1	-1	-1	-1
405.211	0	1	ListenWord	NA	mead	4.22	7.43	20	148.6
408.281	0	1	null	NA	null	-1	-1	-1	-1
411.35	0	1	ListenNoise	NA	null	-1	-1	-1	-1
414.42	0	1	null	NA	null	-1	-1	-1	-1
417.49	0	1	ListenWord	NA	weave	4.2	7.03	16	112.48
420.56	0	1	null	NA	null	-1	-1	-1	-1
423.63	0	1	ListenWord	NA	share	2.96	10.96	22	241.12
426.699	0	1	null	NA	null	-1	-1	-1	-1
429.769	0	1	null	NA	null	-1	-1	-1	-1
432.839	0	1	null	NA	null	-1	-1	-1	-1
435.909	0	1	ListenWord	NA	bull	4.85	9.02	13	117.26
438.979	0	1	null	NA	null	-1	-1	-1	-1
442.048	0	1	ListenNoise	NA	null	-1	-1	-1	-1
445.118	0	1	null	NA	null	-1	-1	-1	-1
448.188	0	1	ListenWord	NA	seethe	2.39	3.85	16	61.6
451.258	0	1	null	NA	null	-1	-1	-1	-1
454.328	0	1	ListenWord	NA	met	2.58	10.43	26	271.18
457.398	0	1	null	NA	null	-1	-1	-1	-1
460.467	0	1	ListenWord	NA	cheer	2.77	7.55	27	203.85
463.537	0	1	null	NA	null	-1	-1	-1	-1
466.606	0	1	ListenWord	NA	null	1.79	9.64	17	163.88
469.676	0	1	null	NA	null	-1	-1	-1	-1
472.746	0	1	ListenWord	NA	job	3.19	11.93	19	226.67
475.815	0	1	null	NA	null	-1	-1	-1	-1
478.885	0	1	null	NA	null	-1	-1	-1	-1
481.955	0	1	null	NA	null	-1	-1	-1	-1
485.025	0	1	ListenWord	NA	moat	4.69	7.73	31	239.63
488.095	0	1	null	NA	null	-1	-1	-1	-1
491.164	0	1	ListenWord	NA	loaf	4.79	7.11	16	113.76
494.234	0	1	null	NA	null	-1	-1	-1	-1
497.304	0	1	ListenWord	NA	folk	3.57	9.39	16	150.24
500.374	0	1	null	NA	null	-1	-1	-1	-1
503.444	0	1	ListenWord	NA	tile	4.68	7.19	29	208.51
506.513	0	1	null	NA	null	-1	-1	-1	-1
509.583	0	1	null	NA	null	-1	-1	-1	-1
512.653	0	1	null	NA	null	-1	-1	-1	-1
515.723	0	1	ListenWord	NA	date	3.9	11.82	24	283.68
518.793	0	1	null	NA	null	-1	-1	-1	-1
521.862	0	1	ListenNoise	NA	null	-1	-1	-1	-1
524.932	0	1	null	NA	null	-1	-1	-1	-1
528.002	0	1	ListenWord	NA	learn	2.2	11.18	16	178.88
531.072	0	1	null	NA	null	-1	-1	-1	-1
534.142	0	1	null	NA	null	-1	-1	-1	-1
537.211	0	1	null	NA	null	-1	-1	-1	-1
540.281	0	1	ListenWord	NA	rod	4.43	9.88	21	207.48
543.351	0	1	null	NA	null	-1	-1	-1	-1
546.421	0	1	ListenNoise	NA	null	-1	-1	-1	-1
549.491	0	1	null	NA	null	-1	-1	-1	-1
