onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	hoot	3.88	6.87	23	158.01
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	ListenWord	NA	hoop	4.74	7.15	17	121.55
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	ListenWord	NA	rim	4.62	8.22	26	213.72
15.348	0	1	null	NA	null	-1	-1	-1	-1
18.418	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.488	0	1	null	NA	null	-1	-1	-1	-1
24.557	0	1	ListenWord	NA	soap	4.93	8.99	21	188.79
27.627	0	1	null	NA	null	-1	-1	-1	-1
30.697	0	1	null	NA	null	-1	-1	-1	-1
33.766	0	1	null	NA	null	-1	-1	-1	-1
36.836	0	1	ListenWord	NA	limb	4.64	7.66	20	153.2
39.905	0	1	null	NA	null	-1	-1	-1	-1
42.975	0	1	ListenWord	NA	coop	4.46	6.75	20	135
46.045	0	1	null	NA	null	-1	-1	-1	-1
49.114	0	1	ListenWord	NA	gene	3.59	10.15	17	172.55
52.184	0	1	null	NA	null	-1	-1	-1	-1
55.254	0	1	null	NA	null	-1	-1	-1	-1
58.323	0	1	null	NA	null	-1	-1	-1	-1
61.393	0	1	ListenWord	NA	rug	4.79	7.28	22	160.16
64.462	0	1	null	NA	null	-1	-1	-1	-1
67.532	0	1	ListenWord	NA	rum	4.93	6.86	29	198.94
70.602	0	1	null	NA	null	-1	-1	-1	-1
73.671	0	1	null	NA	null	-1	-1	-1	-1
76.741	0	1	null	NA	null	-1	-1	-1	-1
79.81	0	1	ListenWord	NA	duke	4	9.4	16	150.4
82.88	0	1	null	NA	null	-1	-1	-1	-1
85.95	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.018	0	1	null	NA	null	-1	-1	-1	-1
92.088	0	1	ListenWord	NA	loom	4.5	6.47	24	155.28
95.158	0	1	null	NA	null	-1	-1	-1	-1
98.227	0	1	ListenWord	NA	hull	4.29	8.54	24	204.96
101.297	0	1	null	NA	null	-1	-1	-1	-1
104.366	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.436	0	1	null	NA	null	-1	-1	-1	-1
110.506	0	1	ListenWord	NA	lawn	4.93	7.89	19	149.91
113.575	0	1	null	NA	null	-1	-1	-1	-1
116.645	0	1	ListenWord	NA	buff	3.73	7.44	20	148.8
119.714	0	1	null	NA	null	-1	-1	-1	-1
122.784	0	1	ListenWord	NA	dad	4.29	9.38	21	196.98
125.854	0	1	null	NA	null	-1	-1	-1	-1
128.923	0	1	null	NA	null	-1	-1	-1	-1
131.993	0	1	null	NA	null	-1	-1	-1	-1
135.063	0	1	ListenWord	NA	wad	3.93	7.98	22	175.56
138.132	0	1	null	NA	null	-1	-1	-1	-1
141.202	0	1	ListenWord	NA	gap	3.92	8.81	20	176.2
144.271	0	1	null	NA	null	-1	-1	-1	-1
